City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yanam,IN,16.7333,82.2167,25.3,94,1,1.09,clear sky
79,Chicama,PE,-7.8447,-79.1469,20.3,60,55,5.05,broken clouds
80,Saint Anthony,US,45.0205,-93.218,8.29,48,0,4.12,clear sky
81,Airai,TL,-8.9266,125.4092,13.77,79,61,0.78,broken clouds
82,Harrisburg,US,40.2737,-76.8844,11.39,45,100,12.52,overcast clouds
83,Bacalar,MX,18.6667,-88.3833,33.26,49,1,4.59,clear sky
84,Auki,SB,-8.7676,160.7034,24.61,89,100,0.71,overcast clouds
85,Kieta,PG,-6.2167,155.6333,24.5,94,100,2.59,moderate rain
86,Arman,RU,59.7,150.1667,-14.51,81,99,3.42,overcast clouds
87,Antofagasta,CL,-23.65,-70.4,18.6,69,2,2.98,clear sky
88,Yellowknife,CA,62.456,-114.3525,-18.66,64,20,4.63,few clouds
89,Taoudenni,ML,22.6783,-3.9836,28.53,6,100,1.31,overcast clouds
90,Haileybury,CA,47.449,-79.6373,-1.68,83,100,5.74,overcast clouds
91,Quatre Cocos,MU,-20.2078,57.7625,24.06,92,100,8.4,moderate rain
92,Thinadhoo,MV,0.5333,72.9333,28.25,72,5,3.24,clear sky
93,Dunedin,NZ,-45.8742,170.5036,11.0,87,11,0.45,few clouds
94,La Ronge,CA,55.1001,-105.2842,-3.86,68,100,8.23,overcast clouds
95,Shinyanga,TZ,-3.6667,33.4333,20.19,84,62,1.79,light rain
96,San Juan De Uraba,CO,8.7592,-76.5297,25.55,87,100,3.22,overcast clouds
97,Kahului,US,20.8947,-156.47,27.01,67,40,8.75,scattered clouds
98,Vao,NC,-22.6667,167.4833,26.38,88,33,7.07,scattered clouds
99,Ewa Beach,US,21.3156,-158.0072,26.97,61,20,5.66,few clouds
100,Iracoubo,GF,5.4802,-53.2011,25.18,90,100,4.46,overcast clouds
101,Sechura,PE,-5.5569,-80.8222,27.49,60,91,5.95,overcast clouds
102,Puerto Colombia,CO,10.9878,-74.9547,32.05,77,100,8.63,overcast clouds
103,Barrow,US,71.2906,-156.7887,-22.99,77,0,8.23,clear sky
104,Ziro,IN,27.6333,93.8333,10.65,98,100,0.16,overcast clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,29.78,58,2,3.93,clear sky
106,Lavrentiya,RU,65.5833,-171.0,-8.15,83,100,4.89,overcast clouds
107,Qaanaaq,GL,77.484,-69.3632,-8.15,95,100,2.15,overcast clouds
108,Tarauaca,BR,-8.1614,-70.7656,18.11,99,100,2.21,overcast clouds
109,Arraial Do Cabo,BR,-22.9661,-42.0278,24.92,88,75,4.12,broken clouds
110,Hofn,IS,64.2539,-15.2082,3.07,83,100,0.7,overcast clouds
111,Barahona,DO,18.2085,-71.1008,29.9,62,40,7.72,scattered clouds
112,Qandala,SO,11.472,49.8728,28.28,63,1,2.41,clear sky
113,Alta Floresta,BR,-9.8756,-56.0861,32.9,55,40,3.09,scattered clouds
114,Iqaluit,CA,63.7506,-68.5145,-4.15,92,100,1.54,overcast clouds
115,Nampula,MZ,-15.1165,39.2666,22.97,88,0,0.51,clear sky
116,Nanortalik,GL,60.1432,-45.2371,3.58,84,97,2.1,overcast clouds
117,Jamestown,US,42.097,-79.2353,1.12,66,100,8.23,overcast clouds
118,La Roda,ES,39.2167,-2.15,5.85,43,73,4.42,broken clouds
119,Olafsvik,IS,64.8945,-23.7142,5.48,90,100,4.64,overcast clouds
120,Westport,US,41.1415,-73.3579,13.63,61,100,6.26,overcast clouds
121,Klaksvik,FO,62.2266,-6.589,1.51,82,99,9.45,overcast clouds
122,Port Hedland,AU,-20.3167,118.5667,26.03,89,13,3.09,few clouds
123,Madras,IN,13.0878,80.2785,28.99,89,20,2.57,few clouds
124,Abrau-Dyurso,RU,44.69,37.59,15.7,62,100,6.36,overcast clouds
125,Soure,BR,-0.7167,-48.5233,25.52,87,56,3.76,light rain
126,Alofi,NU,-19.0595,-169.9187,24.94,94,99,1.54,overcast clouds
127,Upernavik,GL,72.7868,-56.1549,-10.98,94,100,3.84,overcast clouds
128,Hegang,CN,47.4,130.3667,-1.27,61,61,1.61,broken clouds
129,Nome,US,64.5011,-165.4064,-3.96,58,0,3.09,clear sky
130,Carutapera,BR,-1.195,-46.02,23.5,97,100,1.58,overcast clouds
131,Saint-Pierre,RE,-21.3393,55.4781,24.82,88,75,9.26,light rain
132,Abu Samrah,SY,35.3029,37.1841,17.87,39,95,3.34,overcast clouds
133,Melchor De Mencos,GT,17.0686,-89.1522,35.0,46,0,2.06,clear sky
134,Pangnirtung,CA,66.1451,-65.7125,-6.0,93,75,1.03,broken clouds
135,Saskylakh,RU,71.9167,114.0833,-16.98,98,98,2.83,overcast clouds
136,Hithadhoo,MV,-0.6,73.0833,28.31,72,8,3.18,clear sky
137,Rudnogorsk,RU,57.2639,103.7519,0.54,97,100,4.4,snow
138,Namatanai,PG,-3.6667,152.4333,25.29,90,100,3.1,moderate rain
139,Gat,IL,31.61,34.7642,23.0,45,100,0.38,overcast clouds
140,San Carlos De Bariloche,AR,-41.1456,-71.3082,19.97,34,0,3.8,clear sky
141,Mahajanga,MG,-15.7167,46.3167,25.09,76,80,4.65,broken clouds
142,Leh,IN,34.1667,77.5833,-3.5,50,1,2.26,clear sky
143,Katsuura,JP,35.1333,140.3,6.8,63,79,4.17,broken clouds
